tx,sampling,seedlings
Ambient,1,3
Ambient,2,3
Ambient,1,3
Ambient,2,2
Ambient,1,3
Ambient,1,3
Ambient,2,3
Ambient,2,3
Ambient,1,3
Ambient,1,3
Ambient,2,3
Ambient,1,3
Ambient,1,3
Ambient,2,3
Ambient,1,3
Ambient,2,3
Ambient,2,3
Ambient,1,3
Ambient,2,2
Ambient,2,3
Drought,2,0
Drought,1,2
Drought,2,3
Drought,1,3
Drought,2,3
Drought,1,2
Drought,2,1
Drought,1,2
Drought,2,0
Drought,1,3
Drought,1,2
Drought,1,3
Drought,2,2
Drought,1,2
Drought,2,3
Drought,1,2
Drought,1,3
Drought,2,3
Drought,2,2
Drought,2,2
Wet,2,3
Wet,2,3
Wet,2,3
Wet,1,3
Wet,1,3
Wet,1,3
Wet,2,3
Wet,2,3
Wet,2,3
Wet,1,3
Wet,2,3
Wet,2,3
Wet,1,1
Wet,1,3
Wet,2,3
Wet,1,3
Wet,2,3
Wet,1,3
Wet,1,3
Wet,1,3
