date,doy,location,maxtemp,mintemp,avgtemp,maxlight,minlight,avglight,w/m2
5/14/2018,135,inside,44.1515,22.3335,32.3745,79911.6,0,13350.65,105.470135
5/15/2018,136,inside,44.3965,22.622,32.4985,81289.45,0,13060.7,103.17953
5/16/2018,137,inside,46.0195,21.999,32.3425,78533.85,0,12368.65,97.712335
5/17/2018,138,inside,45.014,22.0465,32.1395,82667.2,0,13155,103.9245
5/18/2018,139,inside,43.9685,21.712,31.8945,71644.9,0,11885.8,93.89782
5/19/2018,140,inside,45.5145,22.046,32.0945,73022.7,0,12587.35,99.440065
5/20/2018,141,inside,44.766,22.3335,32.463,74400.5,0,12605.3,99.58187
5/21/2018,142,inside,43.541,23.2465,32.6655,70267.1,0,11886.35,93.902165
5/22/2018,143,inside,44.03,22.142,31.8215,59244.8,0,10915.3,86.23087
5/23/2018,144,inside,45.703,22.0945,32.0955,59244.8,0,11418.05,90.202595
5/24/2018,145,inside,45.6405,22.1905,32.3685,73022.75,0,12820.9,101.28511
5/25/2018,146,inside,45.201,21.378,31.9125,53733.65,0,10727,84.7433
5/26/2018,147,inside,41.987,24.6415,32.6285,50289.2,0,12773.8,100.91302
5/27/2018,148,inside,43.12,22.191,32.2095,68889.3,0,12213.15,96.483885
5/28/2018,149,inside,43.786,22.6685,32.6095,66133.75,0,11826.8,93.43172
5/29/2018,150,inside,45.326,22.621,32.684,79911.6,0,12246,96.7434
5/30/2018,151,inside,46.083,22.8615,32.608,88178.35,0,13790.45,108.944555
5/31/2018,152,inside,46.3375,22.526,32.5395,92311.75,0,14203.95,112.211205
6/1/2018,153,inside,44.5195,22.142,32.1635,95067.3,0,14390.65,113.686135
6/2/2018,154,inside,46.851,22.095,32.315,89556.15,0,13877.45,109.631855
6/3/2018,155,inside,47.044,22.4295,32.552,86800.55,0,14122,111.5638
6/4/2018,156,inside,46.4015,22.3825,32.707,86800.6,0,13736.05,108.514795
6/5/2018,157,inside,44.89,23.1045,32.8235,67511.55,0,11679.8,92.27042
5/14/2018,135,outside,40.416,16.332,28.4365,108845.15,0,15700,124.03
5/15/2018,136,outside,41.9955,14.8525,28.9155,117111.9,0,17870.3,141.17537
5/16/2018,137,outside,41.293,16.618,28.7235,157067.7,0,21471.9,169.62801
5/17/2018,138,outside,40.588,21.044,29.9655,75778.3,0,18392.35,145.299565
5/18/2018,139,outside,43.131,15.1865,30.018,187379,0,23602.8,186.46212
5/19/2018,140,outside,42.046,14.7085,28.609,181867.85,0,26406,208.6074
5/20/2018,141,outside,43.558,15.998,29.656,181867.85,0,26102.75,206.211725
5/21/2018,142,outside,43.6035,14.038,28.673,168090,0,26957.2,212.96188
5/22/2018,143,outside,43.911,16.189,29.991,165334.45,0,26181.85,206.836615
5/23/2018,144,outside,45.0405,19.282,32.306,114356.3,0,19223.3,151.86407
5/24/2018,145,outside,44.154,15.6165,29.4375,176356.7,0,25277.85,199.695015
5/25/2018,146,outside,44.403,16.1415,29.526,165334.4,0,21904.9,173.04871
5/26/2018,147,outside,44.833,15.8075,29.867,170845.55,0,25352.05,200.281195
5/27/2018,148,outside,45.4695,17.855,31.9475,106089.55,0,18387.8,145.26362
5/28/2018,149,outside,46.0255,15.521,31.175,146045.4,0,18851.4,148.92606
5/29/2018,150,outside,46.088,16.9985,30.9425,143289.85,0,21191.45,167.412455
5/30/2018,151,outside,46.87,15.9505,30.948,108845.2,0,17871.1,141.18169
5/31/2018,152,outside,46.7345,16.6175,31.5285,126756.4,0,21218.45,167.625755
6/1/2018,153,outside,46.8515,14.948,29.738,112978.55,0,19493.55,153.999045
6/2/2018,154,outside,48.0485,17.0465,32.4275,111600.7,0,18387.75,145.263225
6/3/2018,155,outside,48.109,20.9485,34.3885,90933.9,0,16581.35,130.992665
6/4/2018,156,outside,48.9045,18.5685,33.8745,100578.45,0,17855.95,141.062005
6/5/2018,157,outside,49.858,17.427,33.1895,101956.2,0,18079.55,142.828445
5/14/2018,135,tbl,51.014,21.76,33.313,115734.1,0,16881,133.3599
5/15/2018,136,tbl,51.295,21.473,33.39,121245.2,0,16790.9,132.64811
5/16/2018,137,tbl,51.72,21.282,32.975,121245.2,0,17063.6,134.80244
5/17/2018,138,tbl,53.019,21.664,33.645,126756.4,0,19002.6,150.12054
5/18/2018,139,tbl,52.873,21.091,33.49,137778.7,0,23254.2,183.70818
5/19/2018,140,tbl,53.906,21.76,33.929,159823.3,0,24524.6,193.74434
5/20/2018,141,tbl,52.873,21.76,33.753,159823.3,0,24337.5,192.26625
5/21/2018,142,tbl,53.313,21.855,34.234,165334.4,0,24610.7,194.42453
5/22/2018,143,tbl,54.206,21.855,34.123,159823.3,0,25530.1,201.68779
5/23/2018,144,tbl,55.58,21.951,34.407,154312.1,0,24027.6,189.81804
5/24/2018,145,tbl,55.58,22.333,34.478,165334.4,0,23187.6,183.18204
5/25/2018,146,tbl,55.891,21.569,34.385,170845.6,0,26226.2,207.18698
5/26/2018,147,tbl,50.18,24.835,34.52,93689.5,0,20324.6,160.56434
5/27/2018,148,tbl,57.806,20.805,34.583,187379,0,32893.3,259.85707
5/28/2018,149,tbl,58.63,22.046,35.254,187379,0,36303,286.7937
5/29/2018,150,tbl,60.156,22.429,35.012,187379,0,35173.5,277.87065
5/30/2018,151,tbl,59.983,23.581,35.55,198401.3,0,38674,305.5246
5/31/2018,152,tbl,61.739,23.1,35.843,198401.3,0,40818.7,322.46773
6/1/2018,153,tbl,60.852,21.951,35.668,187379,0,39801.3,314.43027
6/2/2018,154,tbl,60.677,22.621,35.124,198401.3,0,40259.5,318.05005
6/3/2018,155,tbl,62.1,22.621,35.309,209423.6,0,41347.7,326.64683
6/4/2018,156,tbl,60.156,23.1,35.431,209423.6,0,41053.7,324.32423
6/5/2018,157,tbl,58.797,24.351,36.022,176356.7,0,37782.8,298.48412
